Полное имя;Имя;Печенье?;Масса нетто;Масса брутто;Белки;Жиры;Углеводы;энерг.ценность;ТУ/TU;Категория;Состав:;Срок годности;Штрих код (название файла);Жирным;
К кофе;Шоколадное;Печенье сахарное «К кофе» шоколадное;265 г x 30 шт;8,35 кг;8;15;68,6;441 ккал/1808 кДж;ТУ/TU 10.72.12-001-15455580-2017;ФАСОВАННОЕ;мука пшеничная в/с, сахар-песок, маргарин, эмульгатор-лецитин, какао-порошок, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота),  соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая  добавка  «Ваниль».;6 мес;4627121071427;;
К кофе;Топленое молоко;Печенье сахарное «К кофе» топленое молоко;265 г x 30 шт;8,35 кг;5,94;17,73;63,83;426 ккал/1746 кДж;ТУ/TU 10.72.12-001-15455580-2017;ФАСОВАННОЕ;мука пшеничная в/с, сахар-песок, маргарин, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота),  соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая  добавка  «Ваниль».;6 мес;4627121071434;;
К кофе;Шоколадное;Печенье сахарное «К кофе» шоколадное;6,0 кг;6,4 кг;8;15;68,6;441 ккал/1808 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ;мука пшеничная в/с, сахар-песок, маргарин, эмульгатор-лецитин, какао-порошок, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота),  соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая  добавка  «Ваниль».;6 мес;4627121071441;;
К кофе;Топленое молоко;Печенье сахарное «К кофе» топленое молоко;6,0 кг;6,4 кг;5,94;17,73;63,83;426 ккал/1746 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ;мука пшеничная в/с, сахар-песок, маргарин, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота),  соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая  добавка  «Ваниль».;6 мес;4627121071250;;
Фрутия;Цитрусовый микс;Печенье сахарное «Фрутия» цитрусовый микс;465 г x 18шт;8,7 кг;6,5;14;67;420 ккал/1760 кДж;ТУ/TU 10.72.12-001-15455580-2017;ФАСОВАННОЕ;мука пшеничная в/с, сахар-песок, жир кондитерский, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), молоко цельное сгущенное с сахаром, сухой яичный меланж,  соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, крахмал кукурузный.;6 мес;4627121071663;;
Фрутия;Мак и изюм;Печенье сахарное «Фрутия» мак и изюм;465 г x 18шт;8,7 кг;7,5;18;63;460 ккал/1886 кДж;ТУ/TU 10.72.12-001-15455580-2017;ФАСОВАННОЕ;мука пшеничная в/с, сахар-песок, жир кондитерский, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), молоко цельное сгущенное с сахаром, молоко сухое обезжиренное, сухой яичный меланж,  соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, изюм, мак пищевой, ароматизатор идентичный натуральному, вкусо-ароматическая добавка «Ваниль», крахмал кукурузный.;6 мес;4627121071502;;
Фрутия;Шоколад и изюм;Печенье сахарное «Фрутия» шоколад и изюм;465 г x 18шт;8,7 кг;8;17;60;430 ккал/1800 кДж;ТУ/TU 10.72.12-001-15455580-2017;ФАСОВАННОЕ;мука пшеничная в/с, сахар-песок, жир кондитерский, какао-порошок, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), молоко цельное сгущенное с сахаром, сухой яичный меланж,  соль поваренная пищевая, солодовый экстракт, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, изюм, вкусо-ароматическая добавка «Ваниль».;6 мес;4627121071625;;
Фрутия;Тропические фрукты;Печенье сахарное «Фрутия» тропические фрукты;465 г x 18шт;8,7 кг;6,7;14,4;66,2;420 ккал;ТУ/TU 10.72.12-001-15455580-2017;ФАСОВАННОЕ;мука пшеничная в/с, сахар-песок, жир кондитерский, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), молоко цельное сгущенное с сахаром, сухой яичный меланж,  соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая добавка «Ваниль», крахмал кукурузный.;6 мес;4627121071649;;
Фрутия;Апельсин;Печенье сахарное «Фрутия» со вкусом апельсина;465 г x 18шт;8,7 кг;6,5;14;67;420 ккал/1722 кДж;ТУ/TU 10.72.12-001-15455580-2017;ФАСОВАННОЕ;мука пшеничная в/с, сахар-песок, жир кондитерский, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), молоко цельное сгущенное с сахаром, сухой яичный меланж,  соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая добавка «Ваниль», крахмал кукурузный. ;6 мес;4627121071526;;
Минифрутия;Апельсиновый вкус;Печенье сахарное «Минифрутия» со вкусом апельсина;300 г x 20 шт;6,3 кг;6,9;9,8;64,9;376 ккал/1541 кДж;ТУ/TU 10.72.12-001-15455580-2017;ФАСОВАННОЕ;мука пшеничная в/с, сахар-песок, маргарин, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая добавка –  ваниль,;6 мес;4627121071465;натуральный краситель «Паприка». ;
